thickness_min,thickness_max,width_min,width_max,length_min,length_max,height_min,height_max,weight_min,weight_max,inner_diameter_min,inner_diameter_max,outer_diameter_min,outer_diameter_max,tensile_mid,yield_mid,elongation_mid,reduction_mid,hardness_mid,coating,finish,form,surface_type,surface_protection,cluster
,,610.0,610.0,,,,,,,,,,,435.0,235.0,26.0,,,,Oiled,,,,0
,,,1520.0,,,,,,25000.0,,,,,,,,,,,,Coils,,,0
2.85,3.0,,1520.0,,,,,,25000.0,610.0,610.0,,,435.0,235.0,26.0,,,,Oiled,Coils,,,0
8.0,8.0,1500.0,1500.0,3000.0,,3000.0,,24000.0,48000.0,,,,,490.0,355.0,22.0,,,,Hot Rolled,Plates,,,0
2.65,2.85,,1520.0,,,,,,25000.0,610.0,610.0,,,595.0,460.0,17.0,,,,,Coils,,Pickled and Oiled,0
1.7,2.0,,1520.0,,,,,,25000.0,610.0,610.0,,,340.0,380.0,28.0,,,,Stained,Slit Coils,,Oiled (O),0
,,,1520.0,,,,,,25000.0,610.0,610.0,,,550.0,355.0,22.0,,,,Stained,Coils,,Oiled (O),0
,,610.0,610.0,,,,,,,,,,,550.0,420.0,19.0,,,,Oiled,Coils,,,0
4.45,4.55,,1520.0,,,,,,25000.0,,,,,,,,,,,,Coils,,,0
,,98.0,98.0,,,,,,25000.0,,,,,435.0,235.0,26.0,,,,Oiled,Coils,,,0
,,,1520.0,,,,,,25000.0,610.0,610.0,,,490.0,355.0,22.0,,,,Oiled,Coils,,,0
12.0,25.0,,,,,,,,,610.0,610.0,,,490.0,355.0,22.0,,,,Oiled,Strips,,,0
5.0,5.0,,1520.0,,,,,,25000.0,,,,,,,,,,,,Coils,,,0
0.7,0.8,940.0,1050.0,,,,,10000.0,20000.0,,,,,385.0,350.0,22.0,,,AS050,,Coils,,,0
50.0,60.0,1500.0,8000.0,,,,,,,,,,,550.0,355.0,22.0,,,,,Plates,,,0
50.0,60.0,1500.0,8000.0,,,,,,,,,,,490.0,355.0,22.0,,,,,Plates,,,0
50.0,60.0,1500.0,8000.0,,,,,,,,,,,550.0,420.0,19.0,,,,,Plates,,,0
4.0,4.0,600.0,1520.0,,,,,10000.0,25000.0,610.0,610.0,,,850.0,700.0,12.0,,,,Hot Rolled,Coils,,Oiled (O),2
1.0,1.0,1406.0,1406.0,,,,,,,,,,,1525.0,1000.0,5.0,,43.5,AS23/23,Aluminized (+AS/+AL),Coils,,,2
0.3,3.0,,640.0,,,,,,,,,,,,,,,,,,Sheets,,,0
7.8,8.1,1270.0,,,,,,,,,,,,490.0,355.0,22.0,,,,,Coils,,,0
8.0,8.0,,,,,,,,,,,,,625.0,500.0,14.0,,,,,Coils,,,2
8.0,8.0,1500.0,1500.0,3000.0,,3000.0,,24000.0,48000.0,,,,,435.0,235.0,26.0,,,,Hot Rolled,Plates,,,0
